Temperature,50 C,,,
Vertical Magnetic Field,3 on dial,,,
Ch 1,Sweep current monitor (across 1 Ohm resistor),,,
Ch 2,Detector signal,,,
,,,,
File,Main coil current (A),RF frequency (MHz),RF amplitude (Vpp),
2,1.8,7.45,1,
3,1.8,11.16,1,
4,1.25,5.25,1,
5,1.25,7.85,1,
6,1.75,7.2,1,
7,1.75,10.85,1,
10,1.3,5.4,1,
11,1.3,8.06,1,
12,1.4,5.8,1,
13,1.4,8.68,1,
14,1.6,6.7,1,
15,1.6,9.92,1,
16,1.5,6.25,1,
17,1.5,9.3,1,
18,1,4.2,1,
19,1,6.2,1,
20,2,8.31,1,
21,2,12.4,1,
23,0.75,4.62,0.5,Better resolution from here on down
24,0.75,3.05,0.5,
25,0.5,2.2,0.25,
26,0.5,3.1,0.125,"Really hard to see the peaks in this one, but the best we can do"
